early_hr_mean,late_hr_mean,hr_mean_drift,early_pace_s_per_km_mean,late_pace_s_per_km_mean,pace_s_per_km_mean_drift,pace_cv_early,pace_cv_late,pace_cv_ratio,cadence_cv_early,cadence_cv_late,cadence_cv_ratio,flat_hr_mean_drift,flat_pace_mean_drift,surges_all_10s_8pct,surges_late_10s_8pct,total_elev_gain_m,total_distance_km,elev_gain_per_km,pct_time_uphill,pct_time_flat,pct_time_downhill,mean_grade_uphill_pct,mean_vspeed_uphill_mh,is_hilly_run,micro_pause_count,micro_pause_per_km,micro_pause_mean_s,warmup_stab_time_s,finish_collapse_pct,hr_recovery_10s_mean,hr_std_60s_mean,duration_min,mean_hr,pace_cv_run,interval_on_count,interval_off_count,interval_patterns_consistent,neuro_tag,run_id,session_type
145.19573901464713,152.30093209054593,7.1051930758987965,348.71213256320686,360.1688437836151,11.456711220408238,0.2237487457642193,0.0291455224850918,0.1302600485448292,0.119000352046059,0.0739839122462135,0.6217117090340882,5.922752808988776,6.5606007694021855,105,12,122.40000939369202,7.006069980382919,17.470566199939984,21.6313474610156,56.93722510995601,21.43142742902839,8.057956671094201,809.1682619175938,False,1,0.1427333730322438,1.0,1200.0,2.8916009151208715,-2.3,2.7707031119627845,41.66666666666666,151.67173130747702,0.1365687357713027,0,2,False,fresh,,
153.0566750629723,175.00629722921914,21.94962216624685,343.23032322067723,321.152027469872,-22.07829575080524,0.0700320260784127,0.1266310102135385,1.8081871581403848,0.0959411407448573,0.2270865894987313,2.36693651686546,12.577940922107132,0.2016630050558205,102,42,103.40000295639038,8.006870078086854,12.913910422922283,18.095957687948623,64.48809973554968,17.4159425765017,7.307536398969505,774.1127599505144,False,0,0.0,0.0,1200.0,12.033737323425942,-4.642857142857143,2.209818276693543,44.1,166.4741216471477,0.1036294620291235,2,2,False,none,,
160.69815668202764,159.6693548387097,-1.0288018433179786,355.27401940904804,356.7828851509252,1.5088657418771731,0.2064489146065514,0.1422989297241018,0.6892694495163315,0.066067225603546,0.1985231833185707,3.0048663540052662,2.211856171039869,-10.69071195885897,150,44,91.99999380111694,8.0125400390625,11.482001132300278,14.557399723374829,71.16182572614107,14.280774550484091,7.657137264461589,783.2778599936153,False,0,0.0,0.0,1200.0,8.056690156642627,-1.6666666666666667,2.6637301354161,48.18333333333333,161.44225449515906,0.167286056051862,0,3,False,body_limited,,
151.80769230769232,168.93766578249335,17.129973474801034,367.2067596386682,355.7253254645109,-11.4814341741573,0.1292368317354479,0.1666191475353844,1.2892543503113667,0.1741564136285986,0.1061039929967691,0.6092453949071533,13.53480653713214,-14.317840885075611,376,192,73.1999979019165,6.66085986328125,10.989571827721498,13.65989645559538,75.30864197530865,11.031461569095978,7.646767601024544,720.0000540508125,False,1,0.1501307669768904,2.0,1200.0,-6.879273463878079,-0.2807692307692312,2.74245183013361,41.833333333333336,160.11589008363202,0.1573402659780353,4,4,True,none,,
168.78558225508317,189.724584103512,20.93900184842883,431.7281838795401,440.3192784726549,8.591094593114804,1.0754196397272524,0.6899204583943378,0.6415360412883246,0.3555303455068834,0.4357976480447468,1.2257677960609112,16.053084648493524,-52.48462664212093,501,152,42.19999504089356,5.758009765625,7.328920366343453,11.098779134295228,77.35849056603774,11.542730299667037,7.319094438151287,719.9998626708984,False,8,1.389368953098961,3.5,1200.0,-47.71863743492912,0.8536585365853658,4.626892782994657,30.016666666666666,179.1958934517203,0.8353470398590265,0,6,False,none,,
155.03214285714284,157.70357142857142,2.671428571428578,385.65056822692327,391.87182018287655,6.221251955953278,0.2401604675723014,0.2722200221488861,1.1334922225154855,0.1604426462350725,0.2654303038289095,1.6543625404932194,3.3897349616733834,10.677407792201905,316,105,124.00000762939452,7.883879843711853,15.728297499142682,17.6056338028169,65.79914268218003,16.595223515003063,8.282638710465557,768.8348420184592,False,2,0.2536822021197077,1.5,1200.0,3.7592357572397055,-0.8500000000000002,2.763946976880215,54.41666666666666,155.35639926515614,0.2128598747406823,1,7,False,none,,
167.2039911308204,187.4878048780488,20.28381374722838,291.68570710328294,434.7006399590997,143.0149328558167,0.224681464271287,0.9901676914068764,4.406984326091621,0.1538075262762173,0.4060886546855867,2.640239164605682,10.447470817120632,167.51938737221104,236,109,166.80000019073486,5.133299785137177,32.493718888907146,32.84477015323118,34.24383744170553,32.91139240506329,10.109658080812451,1197.565929884843,True,1,0.1948064679361556,5.0,1070.0,44.07909092005492,-0.0416666666666666,2.790069595857858,25.0,182.3597601598934,0.7519692627716001,0,4,False,none,,
146.76862123613313,156.12519809825673,9.356576862123603,437.8633977501975,400.4842024287457,-37.37919532145179,0.6134233808299614,0.0333159552543759,0.0543115184316898,0.1929923085472171,0.0089224217894076,0.0462320071539261,6.230256898192181,-22.562012265693227,280,33,0.0,5.3096298828125,0.0,0.0,100.0,0.0,,,False,0,0.0,0.0,1200.0,2.046206633737644,-0.7741935483870968,2.0589677354911733,35.016666666666666,152.42150333016176,0.364123215951476,1,2,False,none,,
160.6456009913259,173.8596654275093,13.214064436183406,368.6852164666216,335.579297580333,-33.10591888628858,0.2690343344613856,0.1089662597673496,0.4050273359551047,0.2340812105190927,0.1843700671476998,0.7876329191003638,9.01305227894889,-29.125643793147105,719,104,301.1999742388725,14.008849609375,21.500692964631696,22.75092936802974,54.5910780669145,22.657992565055764,8.605448437832667,868.8234390581356,True,3,0.2141503466489026,1.3333333333333333,1200.0,-20.574066334557138,-1.4,3.261618803681043,89.65,166.63726765799257,0.2968781204632463,2,16,False,none,,
149.97648752399232,164.14491362763914,14.168426103646825,387.96137005466494,381.3714781075658,-6.589891947099147,0.1252531535914315,0.1553100615591642,1.239969271079406,0.120242922291506,0.1211713316924103,1.0077211147501348,10.88283699059562,17.109804473646705,366,159,101.40000891685486,8.6560498046875,11.714351373295454,13.878491217967175,73.4811402245897,12.640368557443132,8.331158274321458,748.3818178849597,False,2,0.2310522750131292,2.5,1200.0,-12.221407351931116,-1.7857142857142858,3.172328446934488,57.86666666666667,156.8671177656205,0.2434087406183863,5,5,False,none,,
