run_id,date,session_type,neuro_tag,final_label,base_label,final_code,CML_z,GPV_z,CML_adj,GPV_adj,reasons
22363621858,2026-03-31,,,Type C — Global fatigue,Type C — Global fatigue,C,2.046205837594353,1.279391289904965,2.046205837594353,1.279391289904965,"base → Type C — Global fatigue (CML_z=2.05, GPV_z=1.28)"
22362816937,2026-03-31,,,Type B — Regulation-limited,Type B — Regulation-limited,B,-1.6791661601036438,1.4413286466916932,-1.6791661601036438,1.4413286466916932,"base → Type B — Regulation-limited (CML_z=-1.68, GPV_z=1.44)"
22337057846,2026-03-29,,,Type D — Fresh / controlled,Type D — Fresh / controlled,D,-0.99548529542995,-1.4106940375198758,-0.99548529542995,-1.4106940375198758,"base → Type D — Fresh / controlled (CML_z=-1.00, GPV_z=-1.41)"
22315224236,2026-03-27,,,Type D — Fresh / controlled,Type D — Fresh / controlled,D,-1.4403307195667774,-1.6342409240590563,-1.4403307195667774,-1.6342409240590563,"base → Type D — Fresh / controlled (CML_z=-1.44, GPV_z=-1.63)"
22308661439,2026-03-26,,,Type C — Global fatigue,Type C — Global fatigue,C,2.074102095439908,0.7465624992433109,2.074102095439908,0.7465624992433109,"base → Type C — Global fatigue (CML_z=2.07, GPV_z=0.75)"
22287477081,2026-03-24,,,Type D — Fresh / controlled,Type D — Fresh / controlled,D,-0.7176596491257519,-2.254199017270655,-0.7176596491257519,-2.254199017270655,"base → Type D — Fresh / controlled (CML_z=-0.72, GPV_z=-2.25)"
22287206816,2026-03-24,,,Type C — Global fatigue,Type C — Global fatigue,C,4.548822926161882,0.6334726145510543,4.548822926161882,0.6334726145510543,"base → Type C — Global fatigue (CML_z=4.55, GPV_z=0.63)"
22286435742,2026-03-24,,,Type D — Fresh / controlled,Type D — Fresh / controlled,D,-2.254191474147617,-1.001952854996178,-2.254191474147617,-1.001952854996178,"base → Type D — Fresh / controlled (CML_z=-2.25, GPV_z=-1.00)"
22258011583,2026-03-22,,,Mixed / normal,Mixed / normal,M,-1.557024637619045,-0.3538752420121994,-1.557024637619045,-0.3538752420121994,"base → Mixed / normal (CML_z=-1.56, GPV_z=-0.35)"
22237591661,2026-03-20,,,Mixed / normal,Mixed / normal,M,1.6480804145586263,-0.3272555739885333,1.6480804145586263,-0.3272555739885333,"base → Mixed / normal (CML_z=1.65, GPV_z=-0.33)"
22229522031,2026-03-19,,,Mixed / normal,Mixed / normal,M,-0.4624454714577658,-1.0857405782514955,-0.4624454714577658,-1.0857405782514955,"base → Mixed / normal (CML_z=-0.46, GPV_z=-1.09)"
22198195953,2026-03-17,,,Mixed / normal,Mixed / normal,M,-1.7814113330051549,0.0102461718991326,-1.7814113330051549,0.0102461718991326,"base → Mixed / normal (CML_z=-1.78, GPV_z=0.01)"
22176470161,2026-03-15,,,Mixed / normal,Mixed / normal,M,0.208417984334201,-0.6715680140191251,0.208417984334201,-0.6715680140191251,"base → Mixed / normal (CML_z=0.21, GPV_z=-0.67)"
22154664575,2026-03-13,,,Mixed / normal,Mixed / normal,M,0.102872929114315,-0.2626846066451776,0.102872929114315,-0.2626846066451776,"base → Mixed / normal (CML_z=0.10, GPV_z=-0.26)"
22145044363,2026-03-12,,,Mixed / normal,Mixed / normal,M,1.4997315345754114,-0.2904076240498253,1.4997315345754114,-0.2904076240498253,"base → Mixed / normal (CML_z=1.50, GPV_z=-0.29)"
22132905431,2026-03-11,,,Mixed / normal,Mixed / normal,M,0.0598339795361372,-1.154359120074858,0.0598339795361372,-1.154359120074858,"base → Mixed / normal (CML_z=0.06, GPV_z=-1.15)"
22121517818,2026-03-10,,,Mixed / normal,Mixed / normal,M,-1.0135446671234822,-0.3774555514149229,-1.0135446671234822,-0.3774555514149229,"base → Mixed / normal (CML_z=-1.01, GPV_z=-0.38)"
22079844162,2026-03-06,,,Type D — Fresh / controlled,Type D — Fresh / controlled,D,-1.4778948385355355,-0.9645290493835338,-1.4778948385355355,-0.9645290493835338,"base → Type D — Fresh / controlled (CML_z=-1.48, GPV_z=-0.96)"
22073721805,2026-03-05,,,Mixed / normal,Mixed / normal,M,-0.0367575362101844,0.5206659622287361,-0.0367575362101844,0.5206659622287361,"base → Mixed / normal (CML_z=-0.04, GPV_z=0.52)"
22051189168,2026-03-03,,,Type D — Fresh / controlled,Type D — Fresh / controlled,D,-1.0121351752121297,-1.3564003091800356,-1.0121351752121297,-1.3564003091800356,"base → Type D — Fresh / controlled (CML_z=-1.01, GPV_z=-1.36)"
